"No.","Time","Source","Destination","Protocol","Length","Expert Info","Bluetooth","Data Total Length","Data","CID","Payload","Info"
"74","18:21:43.248000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"75","18:21:43.268000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","615","â\234\223","Dynamically Allocated Channel","8060027600bad3fc0000000047fc0000","Sent Connection oriented channel"
"76","18:21:43.287000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"77","18:21:43.287000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"78","18:21:43.291000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","622","â\234\223","Dynamically Allocated Channel","8060027700bad4130000000047fc0000","Sent Connection oriented channel"
"79","18:21:43.315000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","613","â\234\223","Dynamically Allocated Channel","8060027800bad42b0000000047fc0000","Sent Connection oriented channel"
"80","18:21:43.318000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"81","18:21:43.338000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","617","â\234\223","Dynamically Allocated Channel","8060027900bad4410000000047fc0000","Sent Connection oriented channel"
"82","18:21:43.361000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","642","â\234\223","Dynamically Allocated Channel","8060027a00bad4590000000047fc0000","Sent Connection oriented channel"
"83","18:21:43.364000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"84","18:21:43.373000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"85","18:21:43.373000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"86","18:21:43.385000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","618","â\234\223","Dynamically Allocated Channel","8060027b00bad4700000000047fc0000","Sent Connection oriented channel"
"87","18:21:43.407000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","620","â\234\223","Dynamically Allocated Channel","8060027c00bad4870000000047fc0000","Sent Connection oriented channel"
"88","18:21:43.410000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"89","18:21:43.430000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","614","â\234\223","Dynamically Allocated Channel","8060027d00bad49e0000000047fc0000","Sent Connection oriented channel"
"90","18:21:43.433000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"91","18:21:43.454000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","615","â\234\223","Dynamically Allocated Channel","8060027e00bad4b50000000047fc0000","Sent Connection oriented channel"
"92","18:21:43.456000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"93","18:21:43.460000","host","controller","HCI_CMD","6","","â\234\223","","","","","Sent LE Set Scan Enable"
"94","18:21:43.464000","controller","host","HCI_EVT","7","","â\234\223","","","","","Rcvd Command Complete (LE Set Scan Enable)"
"95","18:21:43.465000","host","controller","HCI_CMD","13","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"96","18:21:43.467000","controller","host","HCI_EVT","9","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"97","18:21:43.467000","host","controller","HCI_CMD","13","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"98","18:21:43.470000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"99","18:21:43.470000","host","controller","HCI_CMD","5","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"100","18:21:43.473000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"101","18:21:43.473000","host","controller","HCI_CMD","6","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"102","18:21:43.476000","controller","host","HCI_EVT","11","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"103","18:21:43.476000","host","controller","HCI_CMD","13","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"104","18:21:43.477000","localhost ()","remote ()","L2CAP","25","â\234\223","â\234\223","642","â\234\223","Dynamically Allocated Channel","8060027f00bad4cd0000000047fc0000","Sent Connection oriented channel"
"105","18:21:43.478000","controller","host","HCI_EVT","12","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"106","18:21:43.478000","host","controller","HCI_CMD","13","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"107","18:21:43.481000","controller","host","HCI_EVT","12","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"108","18:21:43.481000","host","controller","HCI_CMD","13","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"109","18:21:43.484000","controller","host","HCI_EVT","12","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"110","18:21:43.484000","host","controller","HCI_CMD","13","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"111","18:21:43.487000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"112","18:21:43.487000","controller","host","HCI_EVT","12","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"113","18:21:43.487000","host","controller","HCI_CMD","61","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"114","18:21:43.490000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Number of Completed Packets"
"115","18:21:43.490000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"116","18:21:43.490000","host","controller","HCI_CMD","9","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"117","18:21:43.493000","controller","host","HCI_EVT","8","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"118","18:21:43.493000","host","controller","HCI_CMD","61","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"119","18:21:43.496000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"120","18:21:43.496000","host","controller","HCI_CMD","61","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
"121","18:21:43.499000","controller","host","HCI_EVT","10","","â\234\223","","","","","Rcvd Command Complete (Vendor Command 0x00E9 [opcode 0xFCE9])"
"122","18:21:43.499000","host","controller","HCI_CMD","61","","â\234\223","","","","","Sent Vendor Command 0x00E9 (opcode 0xFCE9)"
